BID NUMBER,NO CUT STREET OUTLYING AREAS,,,,,,SECTION,,,,,COMPLETED,,
604263,Henrie Road,,,,,,Patriots Way to Ranch Road,,,,,In Construction,,
603283,Thomas Edison,,,,,,Bruce Woodbury Drive to Laughlin Civic Drive,,,,,10/17/2014,,
603917,Bermuda Drive,,,,,,Hidden Well Drive to Sunset Road,,,,,In Construction,,
603917,Cabana Drive,,,,,,Flamingo Road to Vegas Valley Drive,,,,,In Construction,,
603050,Cactus Avenue over UPRR,,,,,,Rainbow Boulevard to Verona Wood Street,,,,,11/26/2014,,
602652,Carey Avenue,,,,,,Sloan Lane (Sloan Channel) to Mt Hood Street,,,,,7/3/2013,,
603795,Circus Circus,,,,,,Industrial Road to Las Vegas Boulevard,,,,,In Construction,,
603873,Club House Drive,,,,,,Winterwood Boulevard to Alfa Circle,,,,,In Construction,,
603674,Convention Center Dr.,,,,,,Las Vegas Boulevard to Paradise Road,,,,,12/2/2016,,
603169,Desert Inn Road,,,,,,Paradise Road to Mojave Road,,,,,1/30/2015,,
603873,Desert Inn Road (N ½),,,,,,Lamb Boulevard to Nellis Boulevard (Northern Half),,,,,In Construction,,
602437,Durango Drive,,,,,,Hacienda Ave. to 600 feet north of Tropicana Ave.,,,,,11/14/2012,,
603579,Durango Drive,,,,,,Tropicana Avenue to Desert Inn Road,,,,,11/17/2015,,
R002ABF,Eastern Avenue,,,,,,Tompkins Avenue to Flamingo Road,,,,,In Construction,,
603879,Eastern Avenue,,,,,,Serene Avenue to 215,,,,,In Construction,,
603879,Eastern Avenue,,,,,,Wigwam Parkway to Warm Springs Road,,,,,In Construction,,
602523,Fort Apache Road,,,,,,At Sunset Road; 350 feet north & south of Sunset,,,,,8/8/2012,,
603766,Hacienda Avenue,,,,,,Durango Drive to Rainbow Boulevard,,,,,6/10/2016,,
603259,Harmon Avenue,,,,,,Koval Lane to Paradise Road,,,,,12/8/2014,,
603169,Lamb Boulevard,,,,,,Owens Avenue to Las Vegas Boulevard,,,,,1/30/2015,,
604083,Las Vegas Boulevard,,,,,,St Rose Parkway to Silverado Ranch Boulevard,,,,,In Construction,,
602761,Linden Avenue,,,,,,Sloan Lane to Beesley Drive,,,,,5/15/2013,,
602873,Maryland Parkway,,,,,,St. Rose Parkway to Pebble Road,,,,,10/22/2013,,
603917,McLeod Drive,,,,,,Tropicana Avenue to Flamingo Road,,,,,In Construction,,
602328,North 5th Street,,,,,,Ann Road to El Campo Grande Avenue,,,,,4/4/2012,,
602483,Olive Street,,,,,,Palm Street to Sandhill Road,,,,,2/28/2013,,
603597,Pecos Road,,,,,,Sunset Road to Flamingo Road,,,,,7/29/2016,,
603657,Rainbow Boulevard,,,,,,Warm Springs Road to Diablo Drive,,,,,In Construction,,
603597,Russell Road,,,,,,Decatur Boulevard to Polaris Avenue,,,,,7/29/2016,,
603597,Russell Road,,,,,,Mountain Vista Street to City of Henderson Limits (Approx. 1/4 East of Nellis Boulevard),,,,,7/29/2016,,
603390,Serene Avenue,,,,,,Spencer Street to Eastern Avenue,,,,,7/1/2015,,
603390,Spencer Street,,,,,,Windmill Lane to Warm Springs Road,,,,,7/1/2015,,
602761,Straight Street,,,,,,Linden Avenue to 450 feet south of Linden Ave,,,,,5/15/2013,,
602108,Sunset Road,,,,,,Decatur Boulevard to Valley View Boulevard,,,,,6/28/2013,,
602523,Sunset Road,,,,,,At Fort Apache; 350 feet East & West of Ft. Apache,,,,,8/8/2012,,
602347,Tropicana Avenue,,,,,,East of 215 Beltway to Durango Drive,,,,,11/14/2012,,
602763,Twain Avenue,,,,,,330 feet west of McLeod Drive to McLeod Drive,,,,,6/19/2013,,
602763,Twain Avenue,,,,,,Eastern Avenue to Topaz Street,,,,,6/19/2013,,
602763,Twain Avenue,,,,,,Sandhill Road to Boulder Highway,,,,,6/19/2013,,
603259,Twain Avenue,,,,,,Swenson Street to Maryland Parkway,,,,,12/8/2014,,
603466,Valley View Boulevard,,,,,,Cactus Avenue to Silverado Ranch Boulevard,,,,,4/10/2015,,
602347,Windmill Lane,,,,,,Las Vegas Boulevard to Eastern Avenue,,,,,11/14/2012,,
603879,Windmill Lane,,,,,,Eastern Avenue to La Alba Street,,,,,In Construction,,
603873,Winterwood Boulevard,,,,,,Club House Drive to Sahara Avenue,,,,,In Construction,,
602328,Wyoming Avenue,,,,,,Lamb Boulevard to Nellis Boulevard,,,,,4/4/2012,,
pending construction under bid number 604208,,,,,,,,,,,,,,
STREET NAME                            FROM                                              TO,,,,,,,,,,,,,,
ALGONQUIN CIRCLE,,,COMMANCHE DRIVE,,,,,,175’ N OF COMMANCHE DRIVE,,,,,
ALGONQUIN DRIVE,,,COMMANCHE DRIVE,,,,,,TWAIN AVENUE,,,,,
ARAPAHO CIRCLE,,,DESERT INN ROAD,,,,,,210’ S OF DESRT INN ROAD,,,,,
AYITA CIRCLE,,,DESERT INN ROAD,,,,,,275’ S OF DESERT INN ROAD,,,,,
AZTEC WAY,,,CHIKASAW WAY,,,,,,DESERT INN ROAD,,,,,
CAYUGA PARKWAY,,,ONEIDA WAY,,,,,,DESERT INN ROAD,,,,,
CHEROKEE LANE,,,ALGONQUIN DRIVE,,,,,,SPENCER STREET,,,,,
CHIKASAW,,,CAYUGA PARKWAY,,,,,,AZTEC WAY,,,,,
CHIPPEWA CIRCLE,,,CHIPPEWA DRIVE,,,,,,165’ S OF CHIPPEWA DRIVE,,,,,
CHIPPEWA DRIVE,,,SIOUX WAY,,,,,,NAHATAN WAY,,,,,
COCHISE LANE,,,GERONIMO WAY,,,,,,320’ N OF TIOGA WAY,,,,,
COMMANCHE CIRCLE,,,COMMANCHE DRIVE,,,,,,135’ N OF COMMANCHE DRIVE,,,,,
COMMANCHE DRIVE,,,NAKONA LANE,,,,,,SPENCER STREET,,,,,
DAKOTA WAY,,,SENECA DRIVE,,,,,,535’ N OF SENECA DRIVE,,,,,
DELAWARE LANE,,,MOHIGAN WAY,,,,,,VIKING ROAD,,,,,
GERONIMO WAY,,,215’ W OF COCHISE LANE,,,,,,TIOGA WAY,,,,,
HOOPA LANE,,,MOHIGAN WAY,,,,,,VIKING ROAD,,,,,
MARICOPA WAY,,,CHEROKEE LANE,,,,,,430’ N OF CHEROKEE LANE,,,,,
MOHIGAN WAY,,,VIKING ROAD,,,,,,EASTERN AVENUE,,,,,
NAHATAN WAY,,,PAWNEE DRIVE,,,,,,SPENCER STREET,,,,,
NAKONA LANE,,,PAWNEE DRIVE,,,,,,COMMANCHE DRIVE,,,,,
OMAHA CIRCLE,,,MOHIGAN WAY,,,,,,190’ S OF MOHIGAN WAY,,,,,
ONEIDA WAY,,,DESERT INN ROAD,,,,,,PAWNEE DRIVE,,,,,
OSAGE CIRCLE,,,MOHIGAN WAY,,,,,,150’ S OF MOHIGAN WAY,,,,,
OTTAWA CIRCLE,,,OTTAWA DRIVE,,,,,,450’ N OF OTTAWA DRIVE,,,,,
OTTAWA DRIVE,,,130’ W OF ALGONQUIN DRIVE,,,,,,1500’ E OF SPENCER STREET,,,,,
PAPAGO LANE,,,SPENCER STREET,,,,,,VIKING ROAD,,,,,
PAWNEE CIRCLE,,,PAWNEE DRIVE,,,,,,165’ N OF PAWNEE DRIVE,,,,,
PAWNEE DRIVE,,,ONEIDA WAY,,,,,,DESERT INN ROAD,,,,,
PIMA LANE,,,MOHIGAN WAY,,,,,,250’ S OF MOHIGAN WAY,,,,,
PUEBLO CIRCLE,,,PUEBLO WAY,,,,,,250’ W OF PUEBLO CIRCLE,,,,,
PUEBLO WAY,,,215’ N OF PUEBLO CIRCLE,,,,,,EASTERN AVENUE,,,,,
SEMINOLE CIRCLE,,,DESERT INN ROAD,,,,,,225’ S OF DESERT INN ROAD,,,,,
SENECA CIRCLE,,,OTTAWA DRIVE,,,,,,160’ S OF OTTAWA DRIVE,,,,,
SENECA DRIVE,,,SPENCER STREET,,,,,,DESERT INN ROAD,,,,,
SENECA LANE,,,OTTAWA DRIVE,,,,,,SPENCER STREET,,,,,
SIOUX WAY,,,AZTEC WAY,,,,,,COMMANCHE DRIVE,,,,,
SPENCER STREET,,,NAHATAN WAY,,,,,,TWAIN AVENUE,,,,,
TIOGA WAY,,,COCHISE LANE,,,,,,EASTERN AVENUE,,,,,
TONA CIRCLE,,,PUEBLO WAY,,,,,,175’ W OF PUEBLO WAY,,,,,
YUMA CIRCLE,,,DESERT INN ROAD,,,,,,275’ S OF DESERT INN ROAD,,,,,
ZUNI CIRCLE,,,DESERT INN ROAD,,,,,,250’ S OF DESERT INN ROAD,,,,,
currently under construction under bid number 604152,,,,,,,,,,,,,,
STREET NAME                            FROM                                              TO,,,,,,,,,,,,,,
AVIANCE COURT,,,SEASONS AVENUE,,,,,,180’S SEASONS AVENUE,,,,,
BAYWOOD AVENUE,,,REDWOOD STREET,,,,,,TEMPE STREET,,,,,
BOXWOOD LANE,,,BAYWOOD AVENUE,,,,,,TEMPE STREET,,,,,
BRIGHT SIDE LANE,,,GAZE LANE,,,,,,WALNUT ROAD,,,,,
BRIGHT STAR COURT,,,SOUTHERN LIGHT DRIVE,,,,,,115'E SOUTHERN LIGHT DRIVE,,,,,
CAPSULE DRIVE,,,PLANETARY LANE,,,,,,GAZE LANE,,,,,
CARRERA CIRCLE,,,CARRERA DRIVE,,,,,,170’N CARRERA DRIVE,,,,,
CARRERA DRIVE,,,MARGARITA WAY,,,,,,GINA PLACE,,,,,
CASA LINDA DRIVE,,,RAINBOW BOULEVARD,,,,,,TORREY PINES,,,,,
CASA WAY,,,LARCHWOOD LANE,,,,,,SPRING MOUNTAIN ROAD,,,,,
CLOUD NINE LANE,,,SOUTHERN LIGHT,,,,,,NORTHERN LIGHT,,,,,
DANA WAY,,,CARRERA DRIVE,,,,,,CASA LINDA DRIVE,,,,,
GAZE LANE,,,CAPSULE DRIVE,,,,,,SPHERE DRIVE,,,,,
GINA PLACE,,,CARRERA DRIVE,,,,,,CASA LINDA DRIVE,,,,,
GLOW DRIVE,,,PLANETARY LANE,,,,,,CAPSULE DRIVE,,,,,
HARVEST SEASON COURT,,,SEASONS AVENUE,,,,,,175’S SEASONS AVENUE,,,,,
LARCHWOOD LANE,,,MORAGA DRIVE,,,,,,REDWOOD STREET,,,,,
LARCHWOOD LANE,,,ROSEWOOD STREET,,,,,,TEMPE STREET,,,,,
MARGARITA WAY,,,CASA LINDA DRIVE,,,,,,CARRERA DRIVE,,,,,
MCLEOD DRIVE,,,MORNING SPRINGS DRIVE,,,,,,SEASONS AVENUE,,,,,
MORAGA DRIVE,,,REDWOOD SREET,,,,,,LARCHWOOD LANE,,,,,
MOUNTAINWOOD LANE,,,ROSEWOOD STREET,,,,,,TEMPE STREET,,,,,
NORTHERN LIGHT DRIVE,,,CLOUD NINE LANE,,,,,,SEVENTH HEAVEN LANE,,,,,
NORTHERN LIGHT DRIVE,,,SEVENTH HEAVEN,,,,,,SOUTHERN LIGHT,,,,,
OPERA SEASON COURT,,,SEASONS AVENUE,,,,,,120'S SEASONS AVENUE,,,,,
PEBBLE VIEW COURT,,,SEASONS AVENUE,,,,,,180'S SEASONS AVENUE,,,,,
PLANETARY LANE,,,GLOW DRIVE,,,,,,CAPSULE DRIVE,,,,,
RADIANCE COURT,,,SEASONS AVENUE,,,,,,180'S SEASONS AVENUE,,,,,
RAINY SEASON STREET,,,SEASONS AVENUE,,,,,,130'S SEASONS AVENUE,,,,,
REDWOOD CIRCLE,,,REDWOOD STREET,,,,,,120’W REDWOOD STREET,,,,,
REDWOOD STREET,,,CASA LINDA DRIVE,,,,,,SPRING MOUNTAIN ROAD,,,,,
REDWOOD STREET,,,TWAIN AVENUE,,,,,,CASA LINDA DRIVE,,,,,
ROSEWOOD DRIVE,,,CASA LINDA,,,,,,LARCHWOOD,,,,,
SEASONS AVENUE,,,TOPAZ STREET,,,,,,MCLEOD DRIVE,,,,,
SEVENTH HEAVEN LANE,,,SOUTHERN LIGHT,,,,,,NORTHERN LIGHT,,,,,
SHIMMER LANE,,,NORTHERN LIGHT DRIVE,,,,,,CAPSULE DRIE,,,,,
SOUTHERN LIGHT DRIVE,,,SEVENTH HEAVEN DRIVE,,,,,,WALNUT ROAD,,,,,
