Henrie Road,Patriots Way to Ranch Road,06/29/2017
Thomas Edison,Bruce Woodbury Drive to Laughlin Civic Drive,10/17/2014
Bermuda Drive,Hidden Well Drive to Sunset Road,05/04/2017
Cabana Drive,Flamingo Road to Vegas Valley Drive,05/04/2017
Cactus Avenue over UPRR,Rainbow Boulevard to Verona Wood Street,11/26/2014
Carey Avenue,Sloan Lane (Sloan Channel) to Mt Hood Street,07/03/2013
Cimarron Road,Robindale Road to 700’ north of Eldorado Lane,In Construction
Circus Circus,Industrial Road to Las Vegas Boulevard,05/24/2017
Club House Drive,Winterwood Boulevard to Alfa Circle,06/13/2017
Convention Center Dr.,Las Vegas Boulevard to Paradise Road,12/02/2016
Dean Martin Drive,(North of) San Mamente to (South of) Cactus,In Construction
Desert Inn Road,Paradise Road to Mojave Road,01/30/2015
Desert Inn Road (N ½),Lamb Boulevard to Nellis Boulevard (Northern Half),06/13/2017
Durango Drive,Tropicana Avenue to Desert Inn Road,11/17/2015
Eastern Avenue,Flamingo Road to Desert Inn Road,In Construction
Eastern Avenue,Tompkins Avenue to Flamingo Road,In Construction
Eastern Avenue,Serene Avenue to 215,In Construction
Eastern Avenue,Wigwam Parkway to Warm Springs Road,In Construction
Hacienda Avenue,Durango Drive to Rainbow Boulevard,06/10/2016
Harmon Avenue,Koval Lane to Paradise Road,12/08/2014
Lamb Boulevard,Owens Avenue to Las Vegas Boulevard,01/30/2015
Las Vegas Boulevard,St Rose Parkway to Silverado Ranch Boulevard,In Construction
Linden Avenue,Sloan Lane to Beesley Drive,05/15/2013
Maryland Parkway,Flamingo Road to Twain Avenue,In Construction
Maryland Parkway,St. Rose Parkway to Pebble Road,10/22/2013
McLeod Drive,Tropicana Avenue to Flamingo Road,05/04/2017
Olive Street,Palm Street to Sandhill Road,02/28/2013
Pecos Road,Sunset Road to Flamingo Road,07/29/2016
Rainbow Boulevard,Warm Springs Road to Diablo Drive,06/07/2017
Robindale Road,Durango Drive to Cimarron Road,In Construction
Russell Road,Decatur Boulevard to Polaris Avenue,07/29/2016
Russell Road,Mountain Vista Street to City of Henderson Limits (Approx. 1/4 East of Nellis Boulevard),07/29/2016
Serene Avenue,Spencer Street to Eastern Avenue,07/01/2015
Spencer Street,Windmill Lane to Warm Springs Road,07/01/2015
Straight Street,Linden Avenue to 450 feet south of Linden Ave,05/15/2013
Sunset Road,Decatur Boulevard to Valley View Boulevard,06/28/2013
Twain Avenue,330 feet west of McLeod Drive to McLeod Drive,06/19/2013
Twain Avenue,Eastern Avenue to Topaz Street,06/19/2013
Twain Avenue,Sandhill Road to Boulder Highway,06/19/2013
Twain Avenue,Swenson Street to Maryland Parkway,12/08/2014
Valley View Boulevard,Cactus Avenue to Silverado Ranch Boulevard,04/10/2015
Windmill Lane,Eastern Avenue to La Alba Street,In Construction
Winterwood Boulevard,Club House Drive to Sahara Avenue,06/13/2017
ALGONQUIN CIRCLE,COMMANCHE DRIVE to 175’ N OF COMMANCHE DRIVE,8/30/2017
ALGONQUIN DRIVE,COMMANCHE DRIVE to TWAIN AVENUE,8/30/2017
ARAPAHO CIRCLE,DESERT INN ROAD to 210’ S OF DESRT INN ROAD,8/30/2017
AYITA CIRCLE,DESERT INN ROAD to 275’ S OF DESERT INN ROAD,8/30/2017
AZTEC WAY,CHIKASAW WAY to DESERT INN ROAD,8/30/2017
CAYUGA PARKWAY,ONEIDA WAY to DESERT INN ROAD,8/30/2017
CHEROKEE LANE,ALGONQUIN DRIVE to SPENCER STREET,8/30/2017
CHIKASAW,CAYUGA PARKWAY to AZTEC WAY,8/30/2017
CHIPPEWA CIRCLE,CHIPPEWA DRIVE to 165’ S OF CHIPPEWA DRIVE,8/30/2017
CHIPPEWA DRIVE,SIOUX WAY to NAHATAN WAY,8/30/2017
COCHISE LANE,GERONIMO WAY to 320’ N OF TIOGA WAY,8/30/2017
COMMANCHE CIRCLE,COMMANCHE DRIVE to 135’ N OF COMMANCHE DRIVE,8/30/2017
COMMANCHE DRIVE,NAKONA LANE to SPENCER STREET,8/30/2017
