Bermuda Drive,Hidden Well Drive to Sunset Road,05/04/2017,,,,,,
Cabana Drive,Flamingo Road to Vegas Valley Drive,05/04/2017,,,,,,
Cactus Avenue over UPRR,Rainbow Boulevard to Verona Wood Street,11/26/2014,,,,,,
Cimarron Road,Robindale Road to 700’ north of Eldorado Lane,07/03/2018,,,,,,
Circus Circus,Industrial Road to Las Vegas Boulevard,05/24/2017,,,,,,
Club House Drive,Winterwood Boulevard to Alfa Circle,06/13/2017,,,,,,
Conough Lane,Lone Mtn Rd to Washburn Rd,In Construction,,,,,,
Convention Center Dr.,Las Vegas Boulevard to Paradise Road,12/02/2016,,,,,,
Dean Martin Drive,(North of) San Mamente to (South of) Cactus,02/12/2018,,,,,,
Desert Inn Road,Paradise Road to Mojave Road,01/30/2015,,,,,,
Desert Inn Road (N ½),Lamb Boulevard to Nellis Boulevard (Northern Half),06/13/2017,,,,,,
Durango Drive,Tropicana Avenue to Desert Inn Road,11/17/2015,,,,,,
Eastern Avenue,Flamingo Road to Desert Inn Road,In Construction,,,,,,
Eastern Avenue,Tompkins Avenue to Flamingo Road,06/22/2018,,,,,,
Eastern Avenue,Serene Avenue to 215,09/29/2017,,,,,,
Eastern Avenue,Wigwam Parkway to Warm Springs Road,09/29/2017,,,,,,
Eastern Avenue,Warm Springs Road to Sunset Road,In Construction,,,,,,
Hacienda Avenue,Durango Drive to Rainbow Boulevard,06/10/2016,,,,,,
Harmon Avenue,Koval Lane to Paradise Road,12/08/2014,,,,,,
Hollywood Boulevard,Charleston Boulevard to Lake Mead Boulevard,In Construction,,,,,,
Jones Boulevard,Blue Diamond Road to Pyle Avenue,In Construction,,,,,,
Lamb Boulevard,Owens Avenue to Las Vegas Boulevard,01/30/2015,,,,,,
Las Vegas Boulevard,St Rose Parkway to Silverado Ranch Boulevard,06/01/2018,,,,,,
Lone Mountain Road,Buffalo Drive to Cimarron Road,In Construction,,,,,,
Lone Mountain Road,CC 215 Beltway to Tenaya Way,In Construction,,,,,,
Maryland Parkway,Flamingo Road to Twain Avenue,In Construction,,,,,,
Maryland Parkway,St. Rose Parkway to Pebble Road,10/22/2013,,,,,,
Maryland Parkway,Russell Road to Flamingo Road,In Construction,,,,,,
McLeod Drive,Tropicana Avenue to Flamingo Road,05/04/2017,,,,,,
Mt Hood Street ** (except for some intersections),Bonanza Road to Alto Avenue,05/11/2018,,,,,,
Pecos Road,Sunset Road to Flamingo Road,07/29/2016,,,,,,
Rainbow Boulevard,Warm Springs Road to Diablo Drive,06/07/2017,,,,,,
Robindale Road,Durango Drive to Cimarron Road,07/03/2018,,,,,,
Russell Road,Decatur Boulevard to Polaris Avenue,07/29/2016,,,,,,
Russell Road,Mountain Vista Street to City of Henderson Limits (Approx. 1/4 East of Nellis Boulevard),07/29/2016,,,,,,
Serene Avenue,Spencer Street to Eastern Avenue,07/01/2015,,,,,,
Spencer Street,Windmill Lane to Warm Springs Road,07/01/2015,,,,,,
Tree Line Drive,Sahara Avenue to Charleston Boulevard,05/11/2018,,,,,,
Tropicana Avenue,Fiore Bella Blvd. to CC 215 Southbound Ramps,In Construction,,,,,,
Twain Avenue,Swenson Street to Maryland Parkway,12/08/2014,,,,,,
Valley View Boulevard,Cactus Avenue to Silverado Ranch Boulevard,04/10/2015,,,,,,
Windmill Lane,Eastern Avenue to La Alba Street,09/29/2017,,,,,,
Winterwood Boulevard,Club House Drive to Sahara Avenue,06/13/2017,,,,,,
Henrie Road,Patriots Way to Ranch Road,06/29/2017,,,,,,
Thomas Edison,Bruce Woodbury Drive to Laughlin Civic Drive,10/17/2014,,,,,,
"Encinitas Street in Searchlight, NV",150 ft west of Montana St to Washington St,In Construction,,,,,,
Emerald Canyon Drive,Sloan Lane to Eastern end of Emerald Canyon Dr. (90 +/- feet east of Dry Falls Street),Under Construction,,,,,,
Ballinger Drive,Sloan Lane to Falcon Ridge Street,Under Construction,,,,,,
Bonita Canyon Avenue,Falcon Ridge Street to Eastern end of Bonita Canyon Ave. (90 +/- feet east of Dry Falls Street),Under Construction,,,,,,
Turtlerock Street,Bonita Canyon Avenue to Emerald Canyon Drive,Under Construction,,,,,,
Dry Falls Street,Bonita Canyon Avenue to Emerald Canyon Drive,Under Construction,,,,,,
Los Meadows Drive,"Washington Avenue to End of Cul-de-Sac
(500 +/- feet north of Abbeywood Dr.)",Under Construction,,,,,,
Lookout Mtn Drive,Los Meadows Drive to 160’ East Of Bobrich Circle,Under Construction,,,,,,
Bobrich Circle,"Lookout Mtn Drive to End of Cul-de-Sac
(400+/- feet north of Lookout Mtn Dr.)",Under Construction,,,,,,
Abbeywood Drive,Mt Hood Street to 200’ East Of Calmview Place,Under Construction,,,,,,
Calmview Place,"Abbeywood Drive to End of Cul-de-Sac
(500 +/- feet north of Abbeywood Dr.)",Under Construction,,,,,,
FABERGE AVE,LAMB BLVD to 525'E RIVE GAUCHE ST,Under Construction,,,,,,
GALORE AVE,LANCOME ST to TATIANA ST,Under Construction,,,,,,
JONTUE ST,GALORE AVE to SHALIMAR AVE,Under Construction,,,,,,
LANCOME ST,GALORE AVE to SHALIMAR AVE,Under Construction,,,,,,
PUREZA AVE,RIVE GAUCHE ST to TATIANA ST,Under Construction,,,,,,
RAZON AVE,LAMB BLVD to LANCOME ST,Under Construction,,,,,,
RIVE GAUCHE ST,FABERGE AVE to SHALIMAR AVE,Under Construction,,,,,,
SHALIMAR AVE,LANCOME ST to 415'E RIVE GAUCHE ST,Under Construction,,,,,,
TABU ST,SHALIMAR AVE to ALEXANDER RD,Under Construction,,,,,,
TATIANA ST,GALORE AVE to PUREZA AVE,Under Construction,,,,,,
TIGRESS CIR,RIVE GAUCHE ST to 265'E RIVE GAUCHE ST,Under Construction,,,,,,
ROWLAND AVE,HALEY AVE to 87'S CHEYENNE AVE,Under Construction,,,,,,
HALEY AVE,ROWLAND AVE to TERRY ST,Under Construction,,,,,,
TERRY ST,HALEY AVE to CHEYENNE AVE,Under Construction,,,,,,
ANDI LN,COOKSON CT to BEESLEY DR,Under Construction,,,,,,
COOKSON CT,525'S JULIARD LN to ANDI LN,Under Construction,,,,,,
JULIARD LN,SUNRISE VIEW DR to COOKSON CT,Under Construction,,,,,,
KEY COLONY DR,UNDERWOOD WAY to JULIARD LN,Under Construction,,,,,,
UNDERWOOK WAY,SUNRISE VIEW DR to KEY COLONY DR,Under Construction,,,,,,
SUNRISE VIEW DR,OWENS AVE to JULIARD LN,Under Construction,,,,,,
CORPUS CHRISTI CT,SUNRISE VIEW DR to 240'W SUNRISE VIEW DR,Under Construction,,,,,,
CATALPA TRL,MELODY LN to CORAN LN,Under Construction,,,,,,
CYPRESS TRL,MELODY LN to 480'S CORAN LN,Under Construction,,,,,,
HILLPATH TRL,MOUNTAIN TRL to MELODY LN,Under Construction,,,,,,
MELODY LN,195'W VALLEY DR to PRIMROSE PATH,Under Construction,,,,,,
MOUNTAIN TRL,165'N VEGAS DR to SUNSET DR,Under Construction,,,,,,
PLEASANT RD,VALLEY DR to MOUNTAIN TRL,Under Construction,,,,,,
PRIMROSE PATH,MELODY LN to SUNSET DR,Under Construction,,,,,,
SPRING RD,VALLEY DR to CYPRESS TRL,Under Construction,,,,,,
SUNSET DR,MOUNTAIN TRL to PRIMROSE PATH,Under Construction,,,,,,
SUNSET DR,VEGAS DR to 230'S MOUNTAIN TRL,Under Construction,,,,,,
SYCAMORE TRL,MELODY LN to 490'S CORAN LN,Under Construction,,,,,,
VALLEY DR,VEGAS DR to CORAN LN,Under Construction,,,,,,
CAGNEY CT,SPITZE DR to 395'W SPITZE DR,Under Construction,,,,,,
CHEROKEE AVE,JONES BLVD to 140'W EDINBURGH,Under Construction,,,,,,
EDMOND ST,175'N GALETON CT to 435'N GALETON CT,Under Construction,,,,,,
EDMOND ST,SPITZE DR to 135'S SPITZE DR,Under Construction,,,,,,
HAUCK ST,TWAIN AVE to 205'N TWAIN AVE,Under Construction,,,,,,
HAUCK ST,SPRING MOUNTAIN RD to PIONEER AVE,Under Construction,,,,,,
HIBBETTS CT,140'W SPITZE DR to SPITZE DR,Under Construction,,,,,,
HOLBROOK DR,55'E TOPAWA DR to SPITZE DR,Under Construction,,,,,,
KOFA ST,HOLBROOK DR to GANADO DR,Under Construction,,,,,,
LEOTA CT,290'W ALICE LN to ALICE LN,Under Construction,,,,,,
LINDELL RD,SPITZE DR to KATIE AVE,Under Construction,,,,,,
PIONEER AVE,DUNEVILLE ST to WESTWIND RD,Under Construction,,,,,,
PIONEER AVE,"1,245'E LINDELL RD to HAUCK ST",Under Construction,,,,,,
RED ROCK ST,SPRING MOUNTAIN RD to 375'S PIONEER AVE,Under Construction,,,,,,
RED ROCK ST,140'N CHEROKEE AVE E?C/L to SPRING MOUNTAIN,Under Construction,,,,,,
SPITZE DR,135'N CAMAS CT to TWAIN AVE,Under Construction,,,,,,
WESTWIND RD,SPRING MOUNTAIN RD to DESERT INN RD,Under Construction,,,,,,
MADGE LN,CHARLESTON BLVD to STEWART AVE,Under Construction,,,,,,
BOCK ST,LULU AVE to TROPICANA AVE,Under Construction,,,,,,
LULU AVE,YOUNG ST to MARYLAND PKWY,Under Construction,,,,,,
RADKOVICH AVE,BOCK ST to WILBUR ST,Under Construction,,,,,,
SHIRLEY ST,RADKOVICH AVE to TROPICANA AVE,Under Construction,,,,,,
TONI AVE,WILBUR ST to TURNER ST,Under Construction,,,,,,
TURNER ST,TONI AVE to LULU AVE,Under Construction,,,,,,
YOUNG ST,TONI AVE to LULU AVE,Under Construction,,,,,,
ALLEY SOUTH OF TONI,WILBUR ST to MARYLAND PKWY,Under Construction,,,,,,
GILESPIE ST,100'S CARPENTERS UNION WY to SUNSET RD,Under Construction,,,,,,
GILES ST,WINDMILL LN to 125'N SANTOLI AVE,Under Construction,,,,,,
GILESPIE ST,WINDMILL LN to ROBINDALE RD,Under Construction,,,,,,
HAVEN ST,WINDMILL LN to 660'S ROBINDALE RD,Under Construction,,,,,,
LA CIENEGA ST,WINDMILL LN to ROBINDALE RD,Under Construction,,,,,,
MESA VERDE LN,335'E PLACID ST to 330'E FAIRFIELD AVE,Under Construction,,,,,,
MESA VERDE LN,GILESPIE ST to LA CIENEGA ST,Under Construction,,,,,,
MOBERLY AVE,335'W FAIRFIELD AVE to FAIRFIELD AVE,Under Construction,,,,,,
PLACID ST,335'S WINDMILL LN to MESA VERDE LN,Under Construction,,,,,,
PLACID ST,MOBERLY AVE to ROBINDALE RD,Under Construction,,,,,,
ROBINDALE RD,330'E RANCHO DESTINO RD to 200'W BERMUDA RD,Under Construction,,,,,,
SANTOLI AVE,LAS VEGAS BLVD to GILES ST,Under Construction,,,,,,
ALGONQUIN CIRCLE,COMMANCHE DRIVE to 175’ N OF COMMANCHE DRIVE,08/30/2017,,,,,,
ALGONQUIN DRIVE,COMMANCHE DRIVE to TWAIN AVENUE,08/30/2017,,,,,,
ARAPAHO CIRCLE,DESERT INN ROAD to 210’ S OF DESERT INN ROAD,08/30/2017,,,,,,
AYITA CIRCLE,DESERT INN ROAD to 275’ S OF DESERT INN ROAD,08/30/2017,,,,,,
AZTEC WAY,CHIKASAW WAY to DESERT INN ROAD,08/30/2017,,,,,,
CAYUGA PARKWAY,ONEIDA WAY to DESERT INN ROAD,08/30/2017,,,,,,
CHEROKEE LANE,ALGONQUIN DRIVE to SPENCER STREET,08/30/2017,,,,,,
CHIKASAW,CAYUGA PARKWAY to AZTEC WAY,08/30/2017,,,,,,
CHIPPEWA CIRCLE,CHIPPEWA DRIVE to 165’ S OF CHIPPEWA DRIVE,08/30/2017,,,,,,
CHIPPEWA DRIVE,SIOUX WAY to NAHATAN WAY,08/30/2017,,,,,,
COCHISE LANE,GERONIMO WAY to 320’ N OF TIOGA WAY,08/30/2017,,,,,,
COMMANCHE CIRCLE,COMMANCHE DRIVE to 135’ N OF COMMANCHE DRIVE,08/30/2017,,,,,,
COMMANCHE DRIVE,NAKONA LANE to SPENCER STREET,08/30/2017,,,,,,
DAKOTA WAY,SENECA DRIVE to 535’ N OF SENECA DRIVE,08/30/2017,,,,,,
DELAWARE LANE,MOHIGAN WAY to VIKING ROAD,08/30/2017,,,,,,
GERONIMO WAY,215’ W OF COCHISE LANE to TIOGA WAY,08/30/2017,,,,,,
HOOPA LANE,MOHIGAN WAY to VIKING ROAD,08/30/2017,,,,,,
MARICOPA WAY,CHEROKEE LANE to 430’ N OF CHEROKEE LANE,08/30/2017,,,,,,
MOHIGAN WAY,VIKING ROAD to EASTERN AVENUE,08/30/2017,,,,,,
NAHATAN WAY,PAWNEE DRIVE to SPENCER STREET,08/30/2017,,,,,,
NAKONA LANE,PAWNEE DRIVE to COMMANCHE DRIVE,08/30/2017,,,,,,
OMAHA CIRCLE,MOHIGAN WAY to 190’ S OF MOHIGAN WAY,08/30/2017,,,,,,
ONEIDA WAY,DESERT INN ROAD to PAWNEE DRIVE,08/30/2017,,,,,,
OSAGE CIRCLE,MOHIGAN WAY to 150’ S OF MOHIGAN WAY,08/30/2017,,,,,,
OTTAWA CIRCLE,OTTAWA DRIVE to 450’ N OF OTTAWA DRIVE,08/30/2017,,,,,,
OTTAWA DRIVE,130’ W OF ALGONQUIN DRIVE to 1500’ E OF SPENCER STREET,08/30/2017,,,,,,
PAPAGO LANE,SPENCER STREET to VIKING ROAD,08/30/2017,,,,,,
PAWNEE CIRCLE,PAWNEE DRIVE to 165’ N OF PAWNEE DRIVE,08/30/2017,,,,,,
PAWNEE DRIVE,ONEIDA WAY to DESERT INN ROAD,08/30/2017,,,,,,
PIMA LANE,MOHIGAN WAY to 250’ S OF MOHIGAN WAY,08/30/2017,,,,,,
PUEBLO CIRCLE,PUEBLO WAY to 250’ W OF PUEBLO CIRCLE,08/30/2017,,,,,,
PUEBLO WAY,215’ N OF PUEBLO CIRCLE to EASTERN AVENUE,08/30/2017,,,,,,
SEMINOLE CIRCLE,DESERT INN ROAD to 225’ S OF DESERT INN ROAD,08/30/2017,,,,,,
SENECA CIRCLE,OTTAWA DRIVE to 160’ S OF OTTAWA DRIVE,08/30/2017,,,,,,
SENECA DRIVE,SPENCER STREET to DESERT INN ROAD,08/30/2017,,,,,,
SENECA LANE,OTTAWA DRIVE to SPENCER STREET,08/30/2017,,,,,,
SIOUX WAY,AZTEC WAY to COMMANCHE DRIVE,08/30/2017,,,,,,
SPENCER STREET,NAHATAN WAY to TWAIN AVENUE,08/30/2017,,,,,,
TIOGA WAY,COCHISE LANE to EASTERN AVENUE,08/30/2017,,,,,,
TONA CIRCLE,PUEBLO WAY to 175’ W OF PUEBLO WAY,08/30/2017,,,,,,
YUMA CIRCLE,DESERT INN ROAD to 275’ S OF DESERT INN ROAD,08/30/2017,,,,,,
ZUNI CIRCLE,DESERT INN ROAD to 250’ S OF DESERT INN ROAD,08/30/2017,,,,,,
AVIANCE COURT,SEASONS AVENUE to 180’S SEASONS AVENUE,04/03/2017,,,,,,
BAYWOOD AVENUE,REDWOOD STREET to TEMPE STREET,04/03/2017,,,,,,
BOXWOOD LANE,BAYWOOD AVENUE to TEMPE STREET,04/03/2017,,,,,,
BRIGHT SIDE LANE,GAZE LANE to WALNUT ROAD,04/03/2017,,,,,,
BRIGHT STAR COURT,SOUTHERN LIGHT DRIVE to 115'E SOUTHERN LIGHT DRIVE,04/03/2017,,,,,,
CAPSULE DRIVE,PLANETARY LANE to GAZE LANE,04/03/2017,,,,,,
CARRERA CIRCLE,CARRERA DRIVE to 170’N CARRERA DRIVE,04/03/2017,,,,,,
CARRERA DRIVE,MARGARITA WAY to GINA PLACE,04/03/2017,,,,,,
CASA LINDA DRIVE,RAINBOW BOULEVARD to TORREY PINES,04/03/2017,,,,,,
CASA WAY,LARCHWOOD LANE to SPRING MOUNTAIN ROAD,04/03/2017,,,,,,
CLOUD NINE LANE,SOUTHERN LIGHT to NORTHERN LIGHT,04/03/2017,,,,,,
DANA WAY,CARRERA DRIVE to CASA LINDA DRIVE,04/03/2017,,,,,,
GAZE LANE,CAPSULE DRIVE to SPHERE DRIVE,04/03/2017,,,,,,
GINA PLACE,CARRERA DRIVE to CASA LINDA DRIVE,04/03/2017,,,,,,
GLOW DRIVE,PLANETARY LANE to CAPSULE DRIVE,04/03/2017,,,,,,
HARVEST SEASON COURT,SEASONS AVENUE to 175’S SEASONS AVENUE,04/03/2017,,,,,,
LARCHWOOD LANE,MORAGA DRIVE to REDWOOD STREET,04/03/2017,,,,,,
LARCHWOOD LANE,ROSEWOOD STREET to TEMPE STREET,04/03/2017,,,,,,
MARGARITA WAY,CASA LINDA DRIVE to CARRERA DRIVE,04/03/2017,,,,,,
MCLEOD DRIVE,MORNING SPRINGS DRIVE to SEASONS AVENUE,04/03/2017,,,,,,
MORAGA DRIVE,REDWOOD SREET to LARCHWOOD LANE,04/03/2017,,,,,,
MOUNTAINWOOD LANE,ROSEWOOD STREET to TEMPE STREET,04/03/2017,,,,,,
NORTHERN LIGHT DRIVE,CLOUD NINE LANE to SEVENTH HEAVEN LANE,04/03/2017,,,,,,
NORTHERN LIGHT DRIVE,SEVENTH HEAVEN to SOUTHERN LIGHT,04/03/2017,,,,,,
OPERA SEASON COURT,SEASONS AVENUE to 120'S SEASONS AVENUE,04/03/2017,,,,,,
PEBBLE VIEW COURT,SEASONS AVENUE to 180'S SEASONS AVENUE,04/03/2017,,,,,,
PLANETARY LANE,GLOW DRIVE to CAPSULE DRIVE,04/03/2017,,,,,,
RADIANCE COURT,SEASONS AVENUE to 180'S SEASONS AVENUE,04/03/2017,,,,,,
RAINY SEASON STREET,SEASONS AVENUE to 130'S SEASONS AVENUE,04/03/2017,,,,,,
REDWOOD CIRCLE,REDWOOD STREET to 120’W REDWOOD STREET,04/03/2017,,,,,,
REDWOOD STREET,CASA LINDA DRIVE to SPRING MOUNTAIN ROAD,04/03/2017,,,,,,
REDWOOD STREET,TWAIN AVENUE to CASA LINDA DRIVE,04/03/2017,,,,,,
ROSEWOOD DRIVE,CASA LINDA to LARCHWOOD,04/03/2017,,,,,,
SEASONS AVENUE,TOPAZ STREET to MCLEOD DRIVE,04/03/2017,,,,,,
SEVENTH HEAVEN LANE,SOUTHERN LIGHT to NORTHERN LIGHT,04/03/2017,,,,,,
SHIMMER LANE,NORTHERN LIGHT DRIVE to CAPSULE DRIE,04/03/2017,,,,,,
SOUTHERN LIGHT DRIVE,SEVENTH HEAVEN DRIVE to WALNUT ROAD,04/03/2017,,,,,,
SOUTHERN LIGHT DRIVE,CLOUD NINE to SEVENTH HEAVEN,04/03/2017,,,,,,
SPHERE DRIVE,CAPSULE DRIVE to GAZE LANE,04/03/2017,,,,,,
TEMPE STREET,BAYWOOD AVENUE to LARCHWOOD LANE,04/03/2017,,,,,,
TOPAZ STREET,SEASONS AVENUE to 370'N CELEBRATE COURT,04/03/2017,,,,,,
HITE LANE,BARR AVENUE to SCOTTIE,04/03/2017,,,,,,
CHURCHFIELD BLVD,EUREKA to JONES,04/03/2017,,,,,,
CARMINE ST,HARMON to 105'N VIRIDINE,04/03/2017,,,,,,
CHOCOLATE ST,ZONE to 350'N ZONE,04/03/2017,,,,,,
VELURE ST,ZONE to CINNAMON,04/03/2017,,,,,,
VIRIDINE CT,330'W CARMINE to CARMINE,04/03/2017,,,,,,
ZONE AVE,TWILIGHT to VELURE,04/03/2017,,,,,,
CARMELITA CIR,DEL MARINO to 345'S DEL MARINO,04/03/2017,,,,,,
DEL MARINO ST,MOJAVE to PECOS,04/03/2017,,,,,,
EL CEDRO CIR,DEL MARINO to 290'S DEL MARINO,04/03/2017,,,,,,
EL ROBEL CIR,DEL MARINO to 195'S DEL MARINO,04/03/2017,,,,,,
PECOS RD,DESERT INN to PECOS WAY,04/03/2017,,,,,,
ROSARIO CIR,PECOS to 410'W PECOS,04/03/2017,,,,,,
BUHL CT,DUNEVILLE to 370'W DUNEVILLE,04/03/2017,,,,,,
COOLCREST CT,SADDLE to 200'N SADDLE,04/03/2017,,,,,,
DUNEVILLE ST,SADDLE to 320'N SADDLE,04/03/2017,,,,,,
DUNEVILLE ST,VIKING to 320’N KATIE,04/03/2017,,,,,,
DUNEVILLE CT,DUNEVILLE to 390'W DUNEVILLE,04/03/2017,,,,,,
GLORY CT,SADDLE to 200'N SADDLE,04/03/2017,,,,,,
KATIE AVE,160'E MOONGATE to LINDELL,04/03/2017,,,,,,
KEYSTONE CT,SADDLE to 200'N SADDLE,04/03/2017,,,,,,
LEISURE LA,405'S KATIE to KATIE,04/03/2017,,,,,,
MICHELIN CIR,RED ROCK to 350'E RED ROCK,04/03/2017,,,,,,
RED ROCK ST,100'N LONE CREEK to VIKING,04/03/2017,,,,,,
RED ROCK ST,THOR to 200'S THOR,04/03/2017,,,,,,
SADDLE AVE,LINDELL to DUNEVILLE,04/03/2017,,,,,,
WALDORF CT,SADDLE to 200'S SADDLE,04/03/2017,,,,,,
CALIENTE CT,CALIENTE ST to 125'E CALIENTE ST,04/03/2017,,,,,,
CALIENTE ST,HACIENDA to 60’N RAYHIDE,04/03/2017,,,,,,
CLYDESDALE ST,RAWHIDE to HACIENDA,04/03/2017,,,,,,
JEFFREYS ST,750'N RENO to TROPICANA,04/03/2017,,,,,,
LATIGO ST,RAWHIDE to WHIPPLETREE,04/03/2017,,,,,,
LINDERO PL,SANDALWOOD to 590'N SANDALWOOD,04/03/2017,,,,,,
PAPAYA CT,CALIENTE to 145'E CALIENTE,04/03/2017,,,,,,
RAWHIDE ST,CLYDESDALE to EASTERN,04/03/2017,,,,,,
RENO AVE,310'E MARYLAND to SPENCER,04/03/2017,,,,,,
SANDALWOOD LA,CALIENTE to SPENCER,04/03/2017,,,,,,
TAMARUS ST,HACIENDA to TROPICANA,04/03/2017,,,,,,
WHIPPLETREE AVE,CLYDESDALE to LATIGO,04/03/2017,,,,,,
APPLETON DR,EXETER to EASEMENT,04/03/2017,,,,,,
DUNSBACH WY,EXETER to EASEMENT,04/03/2017,,,,,,
EASEMENT LN,APPLETON to MENDON,04/03/2017,,,,,,
ENFIELD CIR,KILGORE to 100'S KILGORE,04/03/2017,,,,,,
EXETER DR,MENDON to APPLETON,04/03/2017,,,,,,
FALLONA AVE,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
HOPKINS DR,EXETER to EASEMENT,04/03/2017,,,,,,
ISSAC AVE,EXETER to EASEMENT,04/03/2017,,,,,,
JUDSON AVE,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
KEPLER DR,EXETER to EASEMENT,04/03/2017,,,,,,
KILGORE DR,RADWICK to EASEMENT,04/03/2017,,,,,,
LARONDA LN,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
LEGALLA LN,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
MENDON LN,EXETER to EASEMENT,04/03/2017,,,,,,
SOLARON AVE,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
SOLDELA DR,HOLLYWOOD to RADWICK,04/03/2017,,,,,,
TIFFOLLO LN,HOLLYWOOD to EXETER,04/03/2017,,,,,,
BLACK ROCK WY,PINE RIDGE to WIND RIVER,04/03/2017,,,,,,
DAMON DR,WALNUT to JEFF,04/03/2017,,,,,,
INDIAN WELLS RD,PINE RIDGE to WIND RIVER,04/03/2017,,,,,,
JEFF DR,DAMON to BETTY,04/03/2017,,,,,,
LEROY DR,JEFF to LOWELL,04/03/2017,,,,,,
LOWELL AVE,LEROY to BETTY,04/03/2017,,,,,,
MESA DR,PINE RIDGE to RIATA,04/03/2017,,,,,,
MESA DR,RED LAKE to WIND RIVER,04/03/2017,,,,,,
PINE RIDGE DR,INDIAN WELLS to BLACK ROCK,04/03/2017,,,,,,
RED LAKE WY,INDIAN WELLS to MESA,04/03/2017,,,,,,
RIATA WY,BONANZA to AWBURY,04/03/2017,,,,,,
WIND RIVER DR,CEDAR to BLACK ROCK,04/03/2017,,,,,,
BIELA AVE,420'W JASON to TROOPER,04/03/2017,,,,,,
BIELA AVE,DAMICO to RAWHIDE,04/03/2017,,,,,,
CRELLIN CIR,SANDHILL to 605'W SANDHILL,04/03/2017,,,,,,
DAMICO DR,WINNER to RAWHIDE,04/03/2017,,,,,,
EVANGELINE CT,NICOLE to 115'N NICOLE,04/03/2017,,,,,,
JASON WY,NICOLE to RAWHIDE,04/03/2017,,,,,,
JUNIOR CT,NICOLE to 150'S NICOLE,04/03/2017,,,,,,
LORRAINE LN,SANDHILL to 605'W SANDHILL,04/03/2017,,,,,,
MISTY CT,JASON to 210'W JASON,04/03/2017,,,,,,
NICOLE CT,NICOLE to 155'S NICOLE,04/03/2017,,,,,,
NICOLE ST,JASON to SANDHILL,04/03/2017,,,,,,
RAWHIDE CT,WINNER to RAWHIDE ST,04/03/2017,,,,,,
ROBERT CT,NICOLE to 155'S NICOLE,04/03/2017,,,,,,
TROOPER ST,NICOLE to BIELA,04/03/2017,,,,,,
WINNER DR,DAMICO to RAWHIDE,04/03/2017,,,,,,
HEDGEFORD CT,RUSSELL to 430'S RUSSELL,04/03/2017,,,,,,
HEDGEHAVEN CT,RUSSELL to 430'S RUSSELL,04/03/2017,,,,,,
CHESTNUT ST,SUNNYSLOPE to WHIPPLETREE,04/03/2017,,,,,,
CORRAL CT,WHIPPLETREE to 285'S WHIPPLETREE,04/03/2017,,,,,,
LEIGH AVE,SPENCER to OXBOW,04/03/2017,,,,,,
OXBOW ST,RAWHIDE to WHIPPLETREE,04/03/2017,,,,,,
RAWHIDE ST,SURREY to SPENCER,04/03/2017,,,,,,
SUNNYSLOPE AVE,CHESTNUT to SURREY,04/03/2017,,,,,,
SURREY ST,RUSSELL to HACIENDA,04/03/2017,,,,,,
WHIPPLETREE AVE,OXBOW to SURREY,04/03/2017,,,,,,
CALLE DEL SOL,VIA SAN RAFAEL to VIA RENALDO,04/03/2017,,,,,,
CALLE ESQUINA,VIA MADRIGAL to 135'N VIA MADRIGAL,04/03/2017,,,,,,
CALLE FERMO,VIA MADRIGAL to 160'N VIA MADRIGAL,04/03/2017,,,,,,
CALLE MIRADOR,VIA TORINO to 145'N VIA MADRIGAL,04/03/2017,,,,,,
CALLE PALOMA,VIA SAN RAFAEL to VIA SAN MARCO,04/03/2017,,,,,,
CALLE PAULA,VIA SAN RAFAEL to VIA SAN ANDROS,04/03/2017,,,,,,
CALLE SAN REMO,FLAMINGO to VIA SAN RAFAEL,04/03/2017,,,,,,
CALLE SEDILLO,VIA SAN MARCO to 160'N VIA MADRIGAL,04/03/2017,,,,,,
