Alexander Road,Pecos Road,Puebla Street,In Construction
Bermuda Road,Hidden Well Road,Sunset Road,5/4/2017
Buffalo Drive,Tropicana Avenue,Sahara Avenue,In Construction
Cabana Drive,Flamingo Road,Vegas Valley Drive,5/4/2017
Cactus Avenue,Verona Wood Street,Polaris Avenue,In Construction
Charleston Boulevard,Nellis Boulevard,Whitewind Lane,In Construction
Circus Circus Drive,Sammy Davis JR,Las Vegas Boulevard,5/24/2017
Club House Drive,Winterwood Boulevard,Alfa Circle,6/13/2017
Conough Lane,Lone Mountain Road,Washburn Road,1/19/2019
Convention Center Dr.,Las Vegas Boulevard,Paradise Road,12/2/2016
Desert Inn Road,Nellis Boulevard,Hollywood Boulevard,In Construction
Durango Drive,Blue Diamond Road,Windmill Lane,In Construction
Durango Drive,Tropicana Avenue,Desert Inn Road,11/17/2015
Eastern Avenue,Serene Avenue,E I215 RAMP,9/29/2017
Eastern Avenue,Tompkins Avenue,Flamingo Road,6/23/2018
Eastern Avenue,Warm Springs Road,Sunset Road,9/13/2019
Eastern Avenue,Wigwam Parkway,Warm Springs Road,9/29/2017
Hacienda Avenue,Durango Drive,Rainbow Boulevard,6/10/2016
Harmon Avenue,Arville Street,Swenson street,In Construction
Harmon Avenue,Decatur Boulevard,Aldebaran Avenue,In Construction
Hollywood Boulevard,Charleston Boulevard,Lake Mead Boulevard,11/15/2019
Jones Boulevard,Blue Diamond Road,Pyle Avenue,7/26/2019
Koval Lane,Tropicana Avenue,Sands Avenue,In Construction
Las Vegas Boulevard,Spring Mountain Road,Sahara Avenue,In Construction
Las Vegas Boulevard,St Rose Parkway,Silverado Ranch Boulevard,6/1/2018
Lone Mountain Road,Buffalo Drive,Cimarron Road,1/19/2019
Lone Mountain Road,S CC215 RAMP,Tenaya Way,9/17/2019
Maryland Parkway,Flamingo Road,Twain Avenue,9/26/2019
Maryland Parkway,Russell Road,Flamingo Road,9/12/2019
McLeod Drive,Tropicana Avenue,Flamingo Road,5/4/2017
Pebble Road,Eastern Avenue,Pecos Road,In Construction
Pecos Road,Owens Avenue,Alexander Road,In Construction
Pecos Road,Sunset Road,Flamingo Road,7/29/2016
Rainbow Boulevard,Warm Springs Road,Diablo Drive,6/7/2017
Robindale Road,Durango Drive,Cimarron Road,7/3/2018
Russell Road,Decatur Boulevard,Polaris Avenue,7/29/2016
Serene Avenue,Spencer Street,Eastern Avenue,7/1/2015
Spencer Street,Windmill Lane,Warm Springs Road,7/1/2015
Tree Line Drive,Sahara Avenue,Charleston Boulevard,5/11/2018
Tropicana Avenue,Fiore Bella Blvd.,S CC215 RAMP,8/8/2019
Valley View Boulevard,Cactus Avenue,Silverado Ranch Boulevard,4/10/2015
Windmill Lane,Eastern Avenue,La Alba Street,9/29/2017
Winterwood Boulevard,Club House Drive,Sahara Avenue,6/13/2017
